region,"Число избирателей, включенных в список избирателей","Число избирательных бюллетеней, полученных участковой избирательной комиссией","Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно","Число избирательных бюллетеней, выданных в помещении для голосования в день голосования","Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования",Число погашенных избирательных бюллетеней,Число избирательных бюллетеней в переносных ящиках для голосования,Число бюллетеней в стационарных ящиках для голосования,Число недействительных избирательных бюллетеней,Число действительных избирательных бюллетеней,Число утраченных избирательных бюллетеней,"Число избирательных бюллетеней, не учтенных при получении",Даванков Владислав Андреевич,Путин Владимир Владимирович,Слуцкий Леонид Эдуардович,Харитонов Николай Михайлович
Алтайский край,276808,261498,0,261498,0,0,0,260160,0,260160,0,0,14387,227085,11039,7649
Архангельская область,101728,96629,0,96629,0,0,0,94416,0,94416,0,0,8170,77667,5782,2797
Белгородская область,164240,156506,0,156506,0,0,0,152175,0,152175,0,0,6226,138181,4576,3192
Владимирская область,120393,113894,0,113894,0,0,0,111397,0,111397,0,0,6864,96638,4907,2988
Вологодская область,105463,101439,0,101439,0,0,0,98974,0,98974,0,0,7723,82708,5697,2846
Воронежская область,193321,182564,0,182564,0,0,0,177885,0,177885,0,0,11970,153863,6905,5147
Калининградская область,67794,62466,0,62466,0,0,0,61228,0,61228,0,0,4094,53838,2048,1248
Калужская область,83534,78782,0,78782,0,0,0,77015,0,77015,0,0,4706,67504,2842,1963
Камчатский край,44042,42021,0,42021,0,0,0,41869,0,41869,0,0,2247,36730,1791,1101
Курская область,109473,104803,0,104803,0,0,0,102043,0,102043,0,0,4929,91756,3253,2105
Липецкая область,105060,100522,0,100522,0,0,0,97731,0,97731,0,0,5827,85061,3839,3004
Московская область,863824,818238,0,818238,0,0,0,798983,0,798983,0,0,48882,699461,28244,22396
Мурманская область,67795,64367,0,64367,0,0,0,62824,0,62824,0,0,4202,54815,2432,1375
Ненецкий автономный округ,5005,4727,0,4727,0,0,0,4650,0,4650,0,0,324,3937,241,148
Нижегородская область,288371,271300,0,271300,0,0,0,266428,0,266428,0,0,17964,230209,10751,7504
Новгородская область,34782,32608,0,32608,0,0,0,31857,0,31857,0,0,2417,27153,1381,906
Новосибирская область,245767,230088,0,230088,0,0,0,228584,0,228584,0,0,15656,199724,7653,5551
Пермский край,197038,183791,0,183791,0,0,0,182177,0,182177,0,0,14854,154404,8576,4343
Псковская область,77998,73786,0,73786,0,0,0,72037,0,72037,0,0,4836,61751,3013,2437
Республика Карелия,45935,42596,0,42596,0,0,0,41732,0,41732,0,0,3584,34764,2279,1105
Республика Крым,131508,123049,0,123049,0,0,0,120261,0,120261,0,0,4375,113323,1513,1050
Ростовская область,390101,360509,0,360509,0,0,0,352455,0,352455,0,0,17077,317039,10447,7892
Свердловская область,309665,293594,0,293594,0,0,0,290701,0,290701,0,0,22805,250294,11066,6536
Томская область,90049,84536,0,84536,0,0,0,84053,0,84053,0,0,5893,73195,3082,1883
Челябинская область,233716,218119,0,218119,0,0,0,216350,0,216350,0,0,15530,186488,8964,5368
Чувашская Республика - Чувашия,241768,232415,0,232415,0,0,0,225368,0,225368,0,0,11281,200685,7174,6228
Ярославская область,133111,126926,0,126926,0,0,0,123928,0,123928,0,0,9543,104973,5727,3685
город Москва,3666413,3666413,0,3666413,0,0,0,3642924,5,3642919,0,0,161924,3245860,115260,119875
город Севастополь,39704,37338,0,37338,0,0,0,36603,0,36603,0,0,999,34740,501,363
